signal_family,signal_name,signal_label,algorithm,algorithm_label,implementation,shift_semitones,rms_error,spectral_distance,spectral_centroid_difference,rms_error_normalized,spectral_distance_normalized,spectral_centroid_difference_normalized,composite_stress
noise,white_noise,noise / white_noise,phase_vocoder,Phase Vocoder,local phase vocoder,12,0.250365419852364,0.7825103604947405,82.27883485513804,0.0002731838908637922,0.2705849754137558,0.024703813265840265,0.09852065752348661
noise,white_noise,noise / white_noise,wsola,WSOLA,local waveform-similarity overlap-add,12,25.46145516133415,1.4912076174426707,104.18415334491375,0.03055117812156159,0.6105751117240854,0.031552721520027256,0.22422633712189144
noise,white_noise,noise / white_noise,rubber_band,Rubber Band,local hybrid spectral/time-domain proxy,12,30.65825492696682,1.6199477481234823,95.096857797949,0.03679242651405053,0.6723368501104875,0.028711491272272897,0.24594692263227033
noise,white_noise,noise / white_noise,psola,PSOLA,local pitch-synchronous overlap-add,12,0.2136066610708758,1.4276357513043347,2638.7749892914862,0.00022903738638000408,0.5800771702942614,0.8240168943373989,0.46810770067268015
noise,white_noise,noise / white_noise,phase_vocoder,Phase Vocoder,local phase vocoder,-12,0.2382796828515766,1.1367982523121154,2471.2711482261243,0.00025866917218499293,0.44055090578977635,0.771645209341536,0.40415159476783247
noise,white_noise,noise / white_noise,wsola,WSOLA,local waveform-similarity overlap-add,-12,254.0173580044564,1.9685942905656653,2380.592276243027,0.3050420620395864,0.8395964018117749,0.7432935889304803,0.6293106842606139
noise,white_noise,noise / white_noise,rubber_band,Rubber Band,local hybrid spectral/time-domain proxy,-12,138.4375455306783,1.9107895459886253,2358.7117335577996,0.16623311204373817,0.8118651769545357,0.7364524270695884,0.5715169053559541
noise,white_noise,noise / white_noise,psola,PSOLA,local pitch-synchronous overlap-add,-12,0.2345474350014985,0.8849286258972804,130.13328541873597,0.00025418682017121767,0.31971907276420664,0.03966596693722315,0.11987974217386699
noise,pink_noise,noise / pink_noise,phase_vocoder,Phase Vocoder,local phase vocoder,3,0.2136034468793149,0.60705408507311,270.74120225322935,0.0002290335262028148,0.1864116525847586,0.0836283828528504,0.09008968965460395
noise,pink_noise,noise / pink_noise,wsola,WSOLA,local waveform-similarity overlap-add,3,112.9200975613228,1.845239919826968,551.0948866888248,0.13558718795553704,0.7804184257285318,0.17128365544424856,0.3624297563761058
noise,pink_noise,noise / pink_noise,rubber_band,Rubber Band,local hybrid spectral/time-domain proxy,3,34.60143797256881,1.6105870671591007,265.01226529023637,0.04152810730887464,0.6678461607987445,0.0818371756776672,0.2637371479284288
noise,pink_noise,noise / pink_noise,psola,PSOLA,local pitch-synchronous overlap-add,3,0.241197174129886,0.7864667745415014,779.3983831827461,0.00026217301850812183,0.2724830238933722,0.24266493676763087,0.17180337789317038
noise,pink_noise,noise / pink_noise,phase_vocoder,Phase Vocoder,local phase vocoder,7,0.276018202571782,0.6121499480039768,127.09634048969282,0.00030399234917100667,0.18885633981262445,0.03871643693145112,0.07595892303108219
noise,pink_noise,noise / pink_noise,wsola,WSOLA,local waveform-similarity overlap-add,7,60.38596655924192,1.7116517715136834,350.91057994671263,0.07249478966152192,0.7163309013177872,0.10869410891724027,0.29917326663218313
noise,pink_noise,noise / pink_noise,rubber_band,Rubber Band,local hybrid spectral/time-domain proxy,7,28.40113686768198,1.625687013063604,232.3978931417525,0.034081674687064516,0.6750902027588617,0.07163997892304633,0.26027061878965746
noise,pink_noise,noise / pink_noise,psola,PSOLA,local pitch-synchronous overlap-add,7,0.2503966061568911,0.9213896314390564,1304.2425785520106,0.0002732213449666585,0.3372108608621968,0.4067625162437963,0.24808219948365326
noise,pink_noise,noise / pink_noise,phase_vocoder,Phase Vocoder,local phase vocoder,12,0.2666556201857299,0.6074447549026454,292.8737116405034,0.0002927480825258055,0.18659907237126672,0.09054832452359689,0.09248004832579647
noise,pink_noise,noise / pink_noise,wsola,WSOLA,local waveform-similarity overlap-add,12,22.062062117528875,1.542630753180997,159.25729835045078,0.02646857780465197,0.635244826130025,0.04877186935339535,0.23682842442935745
noise,pink_noise,noise / pink_noise,rubber_band,Rubber Band,local hybrid spectral/time-domain proxy,12,10.71217303841957,1.4334229329399537,586.5624572264965,0.012837597169535114,0.5828535104788141,0.1823729320838372,0.2593546799107288
noise,pink_noise,noise / pink_noise,psola,PSOLA,local pitch-synchronous overlap-add,12,0.2324926799194534,1.0410307105238652,1885.0118536852483,0.00025171910206947724,0.3946074239045563,0.5883456091394684,0.3277349173820314
noise,pink_noise,noise / pink_noise,phase_vocoder,Phase Vocoder,local phase vocoder,-12,0.240506673455175,0.7683704634676063,1701.1076163375417,0.00026134374156453963,0.26380150691498805,0.5308461826993296,0.26496967778529407
